Feature,BestGroup,BestMeanSHAP,SecondBestMeanSHAP,Gap
RelationWithAdultFamily_1_Very Close to Most,age_18_24,0.5785939693450928,0.5047198534011841,0.07387411594390869
Education_Years,age_18_24,0.29460495710372925,0.2924625873565674,0.0021423697471618652
UPF.Freq_several times a day,gm,0.2824820578098297,0.128379225730896,0.15410283207893372
Exercise.Freq_rarely/never,gm,0.2505280375480652,0.15649735927581787,0.09403067827224731
AgeOfFirstSP_Missing,age_18_24,0.18257063627243042,0.039168935269117355,0.14340170100331306
UPF.Freq_a few times a month,age_18_24,0.14973144233226776,0.10790175199508667,0.04182969033718109
UPF.Freq_rarely/never,gm,0.14728763699531555,0.059863071888685226,0.08742456510663033
Exercise.Freq_once a day,age_18_24,0.13643035292625427,0.05634864792227745,0.08008170500397682
ShareHomeWith_6+,rural_hadza,0.1354130655527115,0.07406998425722122,0.061343081295490265
UPF.Freq_several days a week,rural_hadza,0.1326236128807068,0.055272117257118225,0.07735149562358856
AgeOfFirstSP_Above 25,gm,0.1149325892329216,0.06901028007268906,0.045922309160232544
AgeOfFirstSP_≤10,age_18_24,0.10496415942907333,0.040687624365091324,0.06427653506398201
RelationWithAdultFamily_4_Dont Get Along,age_18_24,0.09951368719339371,0.05805974453687668,0.04145394265651703
Exercise.Freq_several days a week,age_18_24,0.09063156694173813,0.06843173503875732,0.022199831902980804
ShareHomeWith_2,rural_hadza,0.08877365291118622,0.04596018046140671,0.04281347244977951
ShareHomeWith_5,age_18_24,0.08105336874723434,0.03348276764154434,0.04757060110569
Exercise.Freq_a few times a month,gm,0.07833200693130493,0.03338077664375305,0.04495123028755188
Smartphone.ownership_No,rural_hadza,0.07832659780979156,0.03724996745586395,0.04107663035392761
ShareHomeWith_4,age_18_24,0.07579275965690613,0.046304889023303986,0.029487870633602142
AgeOfFirstSP_19,age_18_24,0.07378765195608139,0.01977723091840744,0.05401042103767395
RelationWithAdultFamily_3_Not Close,age_18_24,0.07037115842103958,0.03841732069849968,0.0319538377225399
Smartphone.ownership_Yes,rural_hadza,0.068573959171772,0.015298761427402496,0.05327519774436951
RelationWithAdultFamily_2_Very Close to Some,gm,0.06642820686101913,0.044224005192518234,0.0222042016685009
AgeOfFirstSP_21-25,age_18_24,0.05267849564552307,0.008565466850996017,0.044113028794527054
Exercise.Freq_once a week,gm,0.052607957273721695,0.024515733122825623,0.028092224150896072
ShareHomeWith_3,gm,0.048351019620895386,0.035312484949827194,0.013038534671068192
AgeOfFirstSP_20,age_18_24,0.04572175815701485,0.007333831395953894,0.03838792676106095
UPF.Freq_once a day,gm,0.04481548070907593,0.03004019893705845,0.014775281772017479
AgeOfFirstSP_16,age_18_24,0.044488705694675446,0.006072706077247858,0.03841599961742759
RelationWithAdultFamily_5_Dont Have Family,age_18_24,0.0376097671687603,0.018204376101493835,0.019405391067266464
AgeOfFirstSP_17,age_18_24,0.037601131945848465,0.0197368822991848,0.017864249646663666
ShareHomeWith_1,age_18_24,0.037230320274829865,0.02950092777609825,0.007729392498731613
AgeOfFirstSP_18,age_18_24,0.036044828593730927,0.007973423227667809,0.028071405366063118
RelationWithAdultFamily_6_Prefer Not to Say,rural_hadza,0.028799284249544144,0.020886212587356567,0.007913071662187576
AgeOfFirstSP_Do not Own,age_18_24,0.024222925305366516,0.008948764763772488,0.015274160541594028
ShareHomeWith_0,gm,0.022856906056404114,0.022580772638320923,0.0002761334180831909
AgeOfFirstSP_15,age_18_24,0.019854357466101646,0.012954393401741982,0.006899964064359665
UPF.Freq_Missing,age_18_24,0.01347475778311491,0.006656191311776638,0.006818566471338272
AgeOfFirstSP_13,age_18_24,0.00737061258405447,0.0,0.00737061258405447
Exercise.Freq_Missing,rural_hadza,0.007053306791931391,0.003587016835808754,0.003466289956122637
ShareHomeWith_Missing,age_18_24,0.006148250307887793,0.002822015667334199,0.0033262346405535936
Smartphone.ownership_Missing,age_18_24,0.0012652628356590867,0.0,0.0012652628356590867
AgeOfFirstSP_14,age_18_24,0.00040879016160033643,0.0,0.00040879016160033643
RelationWithAdultFamily_Missing,rural_hadza,0.0003710075397975743,0.00023908667208161205,0.00013192086771596223
AgeOfFirstSP_12,age_18_24,0.0,0.0,0.0
AgeOfFirstSP_11,age_18_24,0.0,0.0,0.0
