Feature,pair,diff
AgeOfFirstSP_11,rural_hadza - gm,0.0
AgeOfFirstSP_12,rural_hadza - gm,0.0
AgeOfFirstSP_13,rural_hadza - gm,0.0
AgeOfFirstSP_14,rural_hadza - gm,0.0
AgeOfFirstSP_15,rural_hadza - gm,-0.012954393401741982
AgeOfFirstSP_16,rural_hadza - gm,-0.006072706077247858
AgeOfFirstSP_17,rural_hadza - gm,-0.015180549584329128
AgeOfFirstSP_18,rural_hadza - gm,0.002264204900711775
AgeOfFirstSP_19,rural_hadza - gm,-0.01933100775931962
AgeOfFirstSP_20,rural_hadza - gm,-0.007333831395953894
AgeOfFirstSP_21-25,rural_hadza - gm,-0.008565466850996017
AgeOfFirstSP_Above 25,rural_hadza - gm,-0.045922309160232544
AgeOfFirstSP_Do not Own,rural_hadza - gm,0.008855334483087063
AgeOfFirstSP_Missing,rural_hadza - gm,0.039168935269117355
AgeOfFirstSP_≤10,rural_hadza - gm,-0.040687624365091324
Education_Years,rural_hadza - gm,-0.10811738669872284
Exercise.Freq_Missing,rural_hadza - gm,0.007053306791931391
Exercise.Freq_a few times a month,rural_hadza - gm,-0.04495123028755188
Exercise.Freq_once a day,rural_hadza - gm,0.012471120804548264
Exercise.Freq_once a week,rural_hadza - gm,-0.052607957273721695
Exercise.Freq_rarely/never,rural_hadza - gm,-0.19647788628935814
Exercise.Freq_several days a week,rural_hadza - gm,-0.03451377525925636
RelationWithAdultFamily_1_Very Close to Most,rural_hadza - gm,0.19046881794929504
RelationWithAdultFamily_2_Very Close to Some,rural_hadza - gm,-0.0222042016685009
RelationWithAdultFamily_3_Not Close,rural_hadza - gm,-0.021622681990265846
RelationWithAdultFamily_4_Dont Get Along,rural_hadza - gm,-0.02501072734594345
RelationWithAdultFamily_5_Dont Have Family,rural_hadza - gm,-0.002678484655916691
RelationWithAdultFamily_6_Prefer Not to Say,rural_hadza - gm,0.007913071662187576
RelationWithAdultFamily_Missing,rural_hadza - gm,0.0003710075397975743
ShareHomeWith_0,rural_hadza - gm,-0.0002761334180831909
ShareHomeWith_1,rural_hadza - gm,0.0039761606603860855
ShareHomeWith_2,rural_hadza - gm,0.05366990715265274
ShareHomeWith_3,rural_hadza - gm,-0.013038534671068192
ShareHomeWith_4,rural_hadza - gm,0.01685715653002262
ShareHomeWith_5,rural_hadza - gm,0.003299921751022339
ShareHomeWith_6+,rural_hadza - gm,0.09869570285081863
ShareHomeWith_Missing,rural_hadza - gm,0.002822015667334199
Smartphone.ownership_Missing,rural_hadza - gm,0.0
Smartphone.ownership_No,rural_hadza - gm,0.06778143905103207
Smartphone.ownership_Yes,rural_hadza - gm,0.06709393684286624
UPF.Freq_Missing,rural_hadza - gm,0.006656191311776638
UPF.Freq_a few times a month,rural_hadza - gm,-0.0429207906126976
UPF.Freq_once a day,rural_hadza - gm,-0.025519367307424545
UPF.Freq_rarely/never,rural_hadza - gm,-0.08764786645770073
UPF.Freq_several days a week,rural_hadza - gm,0.07735149562358856
UPF.Freq_several times a day,rural_hadza - gm,-0.19098514318466187
AgeOfFirstSP_11,rural_hadza - age_18_24,0.0
AgeOfFirstSP_12,rural_hadza - age_18_24,0.0
AgeOfFirstSP_13,rural_hadza - age_18_24,-0.00737061258405447
AgeOfFirstSP_14,rural_hadza - age_18_24,-0.00040879016160033643
AgeOfFirstSP_15,rural_hadza - age_18_24,-0.019854357466101646
AgeOfFirstSP_16,rural_hadza - age_18_24,-0.044488705694675446
AgeOfFirstSP_17,rural_hadza - age_18_24,-0.033044799230992794
AgeOfFirstSP_18,rural_hadza - age_18_24,-0.028071405366063118
AgeOfFirstSP_19,rural_hadza - age_18_24,-0.07334142879699357
AgeOfFirstSP_20,rural_hadza - age_18_24,-0.04572175815701485
AgeOfFirstSP_21-25,rural_hadza - age_18_24,-0.05267849564552307
AgeOfFirstSP_Above 25,rural_hadza - age_18_24,0.06901028007268906
AgeOfFirstSP_Do not Own,rural_hadza - age_18_24,-0.015274160541594028
AgeOfFirstSP_Missing,rural_hadza - age_18_24,-0.14340170100331306
AgeOfFirstSP_≤10,rural_hadza - age_18_24,-0.10496415942907333
Education_Years,rural_hadza - age_18_24,-0.1102597564458847
Exercise.Freq_Missing,rural_hadza - age_18_24,0.003466289956122637
Exercise.Freq_a few times a month,rural_hadza - age_18_24,0.010547146201133728
Exercise.Freq_once a day,rural_hadza - age_18_24,-0.08008170500397682
Exercise.Freq_once a week,rural_hadza - age_18_24,-0.024515733122825623
Exercise.Freq_rarely/never,rural_hadza - age_18_24,-0.10244720801711082
Exercise.Freq_several days a week,rural_hadza - age_18_24,-0.05671360716223717
RelationWithAdultFamily_1_Very Close to Most,rural_hadza - age_18_24,-0.07387411594390869
RelationWithAdultFamily_2_Very Close to Some,rural_hadza - age_18_24,0.022798476740717888
RelationWithAdultFamily_3_Not Close,rural_hadza - age_18_24,-0.05357651971280575
RelationWithAdultFamily_4_Dont Get Along,rural_hadza - age_18_24,-0.06646467000246048
RelationWithAdultFamily_5_Dont Have Family,rural_hadza - age_18_24,-0.022083875723183155
RelationWithAdultFamily_6_Prefer Not to Say,rural_hadza - age_18_24,0.018060012720525265
RelationWithAdultFamily_Missing,rural_hadza - age_18_24,0.00013192086771596223
ShareHomeWith_0,rural_hadza - age_18_24,0.0068006329238414764
ShareHomeWith_1,rural_hadza - age_18_24,-0.007729392498731613
ShareHomeWith_2,rural_hadza - age_18_24,0.04281347244977951
ShareHomeWith_3,rural_hadza - age_18_24,0.003970012068748474
ShareHomeWith_4,rural_hadza - age_18_24,-0.029487870633602142
ShareHomeWith_5,rural_hadza - age_18_24,-0.04757060110569
ShareHomeWith_6+,rural_hadza - age_18_24,0.061343081295490265
ShareHomeWith_Missing,rural_hadza - age_18_24,-0.0033262346405535936
Smartphone.ownership_Missing,rural_hadza - age_18_24,-0.0012652628356590867
Smartphone.ownership_No,rural_hadza - age_18_24,0.04107663035392761
Smartphone.ownership_Yes,rural_hadza - age_18_24,0.05327519774436951
UPF.Freq_Missing,rural_hadza - age_18_24,-0.006818566471338272
UPF.Freq_a few times a month,rural_hadza - age_18_24,-0.08475048094987869
