Feature,BestGroup,BestMeanSHAP,SecondBestMeanSHAP,Gap
RelationWithAdultFamily_1_Very Close to Most,age_18_24,0.6090672016143799,0.5135854482650757,0.0954817533493042
Education_Years,gm,0.33201539516448975,0.2922341227531433,0.039781272411346436
UPF.Freq_several times a day,gm,0.30189409852027893,0.13218162953853607,0.16971246898174286
Exercise.Freq_rarely/never,gm,0.23711368441581726,0.19276554882526398,0.044348135590553284
UPF.Freq_rarely/never,gm,0.1618834286928177,0.07375717908143997,0.08812624961137772
UPF.Freq_several days a week,rural_hadza,0.1395512819290161,0.06571155786514282,0.07383972406387329
UPF.Freq_a few times a month,age_18_24,0.13471436500549316,0.09880455583333969,0.03590980917215347
ShareHomeWith_6+,rural_hadza,0.127195805311203,0.09137262403964996,0.03582318127155304
Exercise.Freq_once a day,age_18_24,0.11867222189903259,0.05083440616726875,0.06783781573176384
ShareHomeWith_2,rural_hadza,0.08952664583921432,0.05970853194594383,0.029818113893270493
RelationWithAdultFamily_4_Dont Get Along,age_18_24,0.08741514384746552,0.05542321130633354,0.03199193254113197
RelationWithAdultFamily_2_Very Close to Some,gm,0.08733852952718735,0.05237141251564026,0.03496711701154709
Exercise.Freq_several days a week,gm,0.08599060028791428,0.07869553565979004,0.007295064628124237
ShareHomeWith_4,age_18_24,0.08013558387756348,0.04745935648679733,0.032676227390766144
Exercise.Freq_a few times a month,gm,0.07074055075645447,0.027919532731175423,0.042821018025279045
RelationWithAdultFamily_3_Not Close,age_18_24,0.06720050424337387,0.04334124177694321,0.023859262466430664
Exercise.Freq_once a week,gm,0.05979705974459648,0.052797604352235794,0.006999455392360687
ShareHomeWith_5,age_18_24,0.056809790432453156,0.040494099259376526,0.01631569117307663
ShareHomeWith_3,gm,0.05560208112001419,0.044793687760829926,0.010808393359184265
UPF.Freq_once a day,gm,0.04558348283171654,0.020020661875605583,0.025562820956110954
ShareHomeWith_1,rural_hadza,0.0382736474275589,0.03410596773028374,0.004167679697275162
ShareHomeWith_0,gm,0.031109347939491272,0.018611904233694077,0.012497443705797195
RelationWithAdultFamily_5_Dont Have Family,age_18_24,0.029221082106232643,0.020520100370049477,0.008700981736183167
RelationWithAdultFamily_6_Prefer Not to Say,rural_hadza,0.026384353637695312,0.02260955236852169,0.003774801269173622
ShareHomeWith_Missing,age_18_24,0.012905560433864594,0.007792660966515541,0.005112899467349052
Exercise.Freq_Missing,rural_hadza,0.009503945708274841,0.0,0.009503945708274841
UPF.Freq_Missing,rural_hadza,0.005492974538356066,0.004699734039604664,0.0007932404987514019
RelationWithAdultFamily_Missing,age_18_24,0.0006931430543772876,0.0006068121292628348,8.633092511445284e-05
