Feature,pair,diff
Education_Years,rural_hadza - gm,-0.13276307284832
Exercise.Freq_Missing,rural_hadza - gm,0.009503945708274841
Exercise.Freq_a few times a month,rural_hadza - gm,-0.042821018025279045
Exercise.Freq_once a day,rural_hadza - gm,-0.0037148743867874146
Exercise.Freq_once a week,rural_hadza - gm,-0.05979705974459648
Exercise.Freq_rarely/never,rural_hadza - gm,-0.16831719130277634
Exercise.Freq_several days a week,rural_hadza - gm,-0.06700446829199791
RelationWithAdultFamily_1_Very Close to Most,rural_hadza - gm,0.19220301508903503
RelationWithAdultFamily_2_Very Close to Some,rural_hadza - gm,-0.03496711701154709
RelationWithAdultFamily_3_Not Close,rural_hadza - gm,-0.02627687156200409
RelationWithAdultFamily_4_Dont Get Along,rural_hadza - gm,-0.023590445518493652
RelationWithAdultFamily_5_Dont Have Family,rural_hadza - gm,-0.004364032298326492
RelationWithAdultFamily_6_Prefer Not to Say,rural_hadza - gm,0.003774801269173622
RelationWithAdultFamily_Missing,rural_hadza - gm,0.0006068121292628348
ShareHomeWith_0,rural_hadza - gm,-0.013598637655377388
ShareHomeWith_1,rural_hadza - gm,0.004712700843811035
ShareHomeWith_2,rural_hadza - gm,0.05201977863907814
ShareHomeWith_3,rural_hadza - gm,-0.010808393359184265
ShareHomeWith_4,rural_hadza - gm,0.017708919942378998
ShareHomeWith_5,rural_hadza - gm,0.0071854256093502045
ShareHomeWith_6+,rural_hadza - gm,0.07982402294874191
ShareHomeWith_Missing,rural_hadza - gm,0.007792660966515541
UPF.Freq_Missing,rural_hadza - gm,0.005492974538356066
UPF.Freq_a few times a month,rural_hadza - gm,-0.05182783305644989
UPF.Freq_once a day,rural_hadza - gm,-0.025562820956110954
UPF.Freq_rarely/never,rural_hadza - gm,-0.08812624961137772
UPF.Freq_several days a week,rural_hadza - gm,0.07383972406387329
UPF.Freq_several times a day,rural_hadza - gm,-0.21720944344997406
Education_Years,rural_hadza - age_18_24,-0.09298180043697357
Exercise.Freq_Missing,rural_hadza - age_18_24,0.009503945708274841
Exercise.Freq_a few times a month,rural_hadza - age_18_24,0.0022887252271175385
Exercise.Freq_once a day,rural_hadza - age_18_24,-0.07155269011855125
Exercise.Freq_once a week,rural_hadza - age_18_24,-0.052797604352235794
Exercise.Freq_rarely/never,rural_hadza - age_18_24,-0.12396905571222305
Exercise.Freq_several days a week,rural_hadza - age_18_24,-0.05970940366387367
RelationWithAdultFamily_1_Very Close to Most,rural_hadza - age_18_24,-0.0954817533493042
RelationWithAdultFamily_2_Very Close to Some,rural_hadza - age_18_24,0.0054614245891571045
RelationWithAdultFamily_3_Not Close,rural_hadza - age_18_24,-0.05013613402843475
RelationWithAdultFamily_4_Dont Get Along,rural_hadza - age_18_24,-0.055582378059625626
RelationWithAdultFamily_5_Dont Have Family,rural_hadza - age_18_24,-0.013065014034509659
