"Group","AgeGroup","Education_Years","ShareHomeWith","RelationWithAdultFamily","UPF.Freq","UPF.Freq.N","Smartphone.ownership","Exercise.Freq","Overall.MHQ","AgeOfFirstSP","MHQ_bucket"
"Rural.Hadza","55-64",10,"4","5_Dont Have Family","rarely/never",1,"Yes","rarely/never",136.1,"Above 25","Succeeding"
"Rural.Hadza","16-20",10,"6+","1_Very Close to Most","several times a day",45,"No","once a day",174.9,NA,"Succeeding"
"Rural.Hadza","35-44",8,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",-44.9,"Above 25","Struggling"
"Rural.Hadza","45-54",8,"4","1_Very Close to Most","rarely/never",1,"Yes","a few times a month",151.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",16,"5","2_Very Close to Some","a few times a month",5,"Yes","a few times a month",138,"Above 25","Succeeding"
"Rural.Hadza","55-64",12,"5","1_Very Close to Most","a few times a month",5,"Yes","rarely/never",-4.2,"Above 25","Struggling"
"Rural.Hadza","65+",8,"2","3_Not Close","rarely/never",1,"No","once a day",155.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"6+","2_Very Close to Some","rarely/never",1,"No","once a day",134.6,"Above 25","Succeeding"
"Rural.Hadza","25-34",16,"0","5_Dont Have Family","rarely/never",1,"Yes","several days a week",130,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",169.6,"Above 25","Succeeding"
"Rural.Hadza","21-24",12,"1","1_Very Close to Most","several times a day",45,"Yes","once a day",118.6,"Do not Own","Succeeding"
"Rural.Hadza","25-34",12,"4","1_Very Close to Most","several days a week",15,"Yes","once a day",133.1,"Above 25","Succeeding"
"Rural.Hadza","45-54",12,"2","1_Very Close to Most","several days a week",15,"Yes","rarely/never",152.1,"Above 25","Succeeding"
"Rural.Hadza","35-44",10,"6+","1_Very Close to Most","several days a week",15,"Yes","once a day",171.9,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"3","2_Very Close to Some","several days a week",15,"No","several days a week",117.1,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"4","1_Very Close to Most","rarely/never",1,"Yes","rarely/never",127.4,"Above 25","Succeeding"
"Rural.Hadza","55-64",10,"5","1_Very Close to Most","several days a week",15,"Yes","several days a week",136.1,"Above 25","Succeeding"
"Rural.Hadza","55-64",10,"5","1_Very Close to Most","rarely/never",1,"Yes","several days a week",174.1,"Above 25","Succeeding"
"Rural.Hadza","65+",12,"5","1_Very Close to Most","a few times a month",5,"Yes","once a day",148.3,"Above 25","Succeeding"
"Rural.Hadza","16-20",12,"6+","1_Very Close to Most","several days a week",15,"Yes","a few times a month",128.5,"16","Succeeding"
"Rural.Hadza","25-34",8,"3","5_Dont Have Family","rarely/never",1,"Yes","once a day",149,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","1_Very Close to Most","several times a day",45,"Yes","a few times a month",152.9,"Above 25","Succeeding"
"Rural.Hadza","35-44",12,"2","2_Very Close to Some","rarely/never",1,"Yes","a few times a month",126.6,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"4","1_Very Close to Most","several times a day",45,"Yes","once a day",104.6,"Above 25","Succeeding"
"Rural.Hadza","35-44",20,"5","1_Very Close to Most","a few times a month",5,"Yes","rarely/never",168.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",14,"4","3_Not Close","a few times a month",5,"Yes","rarely/never",104.9,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"5","2_Very Close to Some","a few times a month",5,"Yes","once a day",114.8,"Above 25","Succeeding"
"Rural.Hadza","35-44",18,"3","1_Very Close to Most","once a day",30,"No","once a day",-3.8,"Above 25","Struggling"
"Rural.Hadza","35-44",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",109.5,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"0","3_Not Close","several times a day",45,"Yes","once a day",103.6,"Above 25","Succeeding"
"Rural.Hadza","35-44",14,"5","1_Very Close to Most","rarely/never",1,"Yes","several days a week",180.2,"Above 25","Succeeding"
"Rural.Hadza","21-24",12,"1","1_Very Close to Most","rarely/never",1,"No","once a day",148.3,NA,"Succeeding"
"Rural.Hadza","25-34",16,"0","2_Very Close to Some","a few times a month",5,"Yes","once a day",152.1,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"3","2_Very Close to Some","several days a week",15,"No","once a day",120.2,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"3","1_Very Close to Most","several times a day",45,"Yes","a few times a month",110.8,"Above 25","Succeeding"
"Rural.Hadza","21-24",8,"5","1_Very Close to Most","once a day",30,"Yes","once a day",139.9,"19","Succeeding"
"Rural.Hadza","55-64",14,"1","1_Very Close to Most","several days a week",15,"Yes","once a day",117.9,"Above 25","Succeeding"
"Rural.Hadza","55-64",14,"1","1_Very Close to Most","several days a week",15,"Yes","once a day",117.9,"Above 25","Succeeding"
"Rural.Hadza","35-44",16,"5","1_Very Close to Most","rarely/never",1,"Yes","once a day",142.2,"Above 25","Succeeding"
"Rural.Hadza","55-64",16,"4","1_Very Close to Most","a few times a month",5,"No","once a day",133.8,"Above 25","Succeeding"
"Rural.Hadza","35-44",12,"4","1_Very Close to Most","rarely/never",1,"Yes","rarely/never",140.1,"Above 25","Succeeding"
"Rural.Hadza","35-44",12,"4","1_Very Close to Most","rarely/never",1,"Yes","rarely/never",140.1,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"5","1_Very Close to Most","several days a week",15,"Yes","several days a week",176.4,"Above 25","Succeeding"
"Rural.Hadza","35-44",16,"0","2_Very Close to Some","several days a week",15,"Yes","several days a week",120.7,"Above 25","Succeeding"
"Rural.Hadza","35-44",16,"5","2_Very Close to Some","a few times a month",5,"Yes","once a day",152.3,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"0","1_Very Close to Most","rarely/never",1,"Yes","rarely/never",102.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"3","1_Very Close to Most","a few times a month",5,"No","once a day",165.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",162.4,"Above 25","Succeeding"
"Rural.Hadza","55-64",20,"4","3_Not Close","rarely/never",1,"Yes","once a day",133.8,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"5","3_Not Close","rarely/never",1,"Yes","once a day",149.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",12,"4","1_Very Close to Most","rarely/never",1,"Yes","once a day",150.6,"Above 25","Succeeding"
"Rural.Hadza","45-54",10,"4","1_Very Close to Most","rarely/never",1,"Yes","once a day",120.9,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","5_Dont Have Family","rarely/never",1,"Yes","once a day",-37.4,"Above 25","Struggling"
"Rural.Hadza","25-34",12,"3","2_Very Close to Some","several times a day",45,"Yes","once a day",163.5,"Above 25","Succeeding"
"Rural.Hadza","65+",14,"4","1_Very Close to Most","several times a day",45,"No","rarely/never",164.3,"Above 25","Succeeding"
"Rural.Hadza","65+",4,"2","3_Not Close","rarely/never",1,"Yes","rarely/never",133.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",14,"5","1_Very Close to Most","several times a day",45,"Yes","once a day",-4.4,"Above 25","Struggling"
"Rural.Hadza","45-54",8,"5","1_Very Close to Most","several times a day",45,"No","once a day",-10.1,"Above 25","Struggling"
"Rural.Hadza","16-20",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",138.4,NA,"Succeeding"
"Rural.Hadza","45-54",0,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",133.1,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",148.3,NA,"Succeeding"
"Rural.Hadza","25-34",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",-65.8,"Above 25","Struggling"
"Rural.Hadza","16-20",8,"4","1_Very Close to Most","rarely/never",1,"Yes","a few times a month",133.1,NA,"Succeeding"
"Rural.Hadza","25-34",0,"5","1_Very Close to Most","rarely/never",1,"No","rarely/never",111.8,"Above 25","Succeeding"
"Rural.Hadza","25-34",0,"5","1_Very Close to Most","rarely/never",1,"No","rarely/never",111.8,"Above 25","Succeeding"
"Rural.Hadza","16-20",12,"5","1_Very Close to Most","a few times a month",5,"No","once a day",-71.4,NA,"Struggling"
"Rural.Hadza","45-54",0,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",141.4,"Above 25","Succeeding"
"Rural.Hadza","35-44",0,"2","1_Very Close to Most","rarely/never",1,"No","once a day",130.8,"Above 25","Succeeding"
"Rural.Hadza","35-44",12,"2","1_Very Close to Most","rarely/never",1,"No","once a day",-39.5,"Above 25","Struggling"
"Rural.Hadza","65+",8,"4","1_Very Close to Most","rarely/never",1,"No","once a day",143,"Above 25","Succeeding"
"Rural.Hadza","21-24",8,"5","1_Very Close to Most","rarely/never",1,"No","once a day",136.9,NA,"Succeeding"
"Rural.Hadza","55-64",0,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",140.7,"Above 25","Succeeding"
"Rural.Hadza","21-24",8,"4","2_Very Close to Some","several times a day",45,"No","once a day",-8.5,NA,"Struggling"
"Rural.Hadza","16-20",12,"6+","1_Very Close to Most","once a day",30,"No","rarely/never",134.6,NA,"Succeeding"
"Rural.Hadza","16-20",4,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",152.1,NA,"Succeeding"
"Rural.Hadza","21-24",0,"3","5_Dont Have Family","rarely/never",1,"No","rarely/never",143,NA,"Succeeding"
"Rural.Hadza","16-20",8,"5","1_Very Close to Most","rarely/never",1,"No","rarely/never",138.4,NA,"Succeeding"
"Rural.Hadza","65+",8,"3","1_Very Close to Most","rarely/never",1,"No","rarely/never",135.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",14,"6+","1_Very Close to Most","several times a day",45,"Yes","once a day",146,"Above 25","Succeeding"
"Rural.Hadza","65+",0,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",118.6,"Above 25","Succeeding"
"Rural.Hadza","35-44",0,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",128.5,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"2","3_Not Close","rarely/never",1,"Yes","rarely/never",-3.5,"Above 25","Struggling"
"Rural.Hadza","65+",4,"6+","1_Very Close to Most","several times a day",45,"No","once a day",139.2,"Above 25","Succeeding"
"Rural.Hadza","16-20",10,"4","3_Not Close","several times a day",45,"No","once a day",161.2,NA,"Succeeding"
"Rural.Hadza","25-34",8,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",110.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",6,"3","1_Very Close to Most","rarely/never",1,"No","once a day",143.7,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",-65.3,NA,"Struggling"
"Rural.Hadza","45-54",0,"1","1_Very Close to Most","rarely/never",1,"No","rarely/never",143,"Above 25","Succeeding"
"Rural.Hadza","65+",0,"3","1_Very Close to Most","rarely/never",1,"No","rarely/never",128.5,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"6+","5_Dont Have Family","rarely/never",1,"No","rarely/never",167.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",0,"5","1_Very Close to Most","rarely/never",1,"No","once a day",134.6,"Above 25","Succeeding"
"Rural.Hadza","25-34",0,"3","1_Very Close to Most","rarely/never",1,"No","once a day",159.7,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","1_Very Close to Most","rarely/never",1,"Yes","once a day",103.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",0,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",155.1,"Above 25","Succeeding"
"Rural.Hadza","45-54",0,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",127.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",0,"3","2_Very Close to Some","rarely/never",1,"No","once a day",168.1,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"2","1_Very Close to Most","several times a day",45,"No","once a day",152.1,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"2","1_Very Close to Most","several times a day",45,"No","rarely/never",107.2,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"6+","1_Very Close to Most","a few times a month",5,"No","once a day",149.8,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"6+","2_Very Close to Some","several days a week",15,"No","once a day",133.1,"Above 25","Succeeding"
"Rural.Hadza","65+",0,"2","1_Very Close to Most","rarely/never",1,"No","once a day",-10.6,"Above 25","Struggling"
"Rural.Hadza","55-64",0,"2","2_Very Close to Some","a few times a month",5,"No","once a day",149.8,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"6+","1_Very Close to Most","a few times a month",5,"No","once a day",160.5,"Above 25","Succeeding"
"Rural.Hadza","45-54",10,"3","1_Very Close to Most","several days a week",15,"Yes","rarely/never",146,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"4","1_Very Close to Most","several times a day",45,"No","once a day",136.1,"Above 25","Succeeding"
"Rural.Hadza","21-24",10,"6+","1_Very Close to Most","several times a day",45,"No","rarely/never",124.7,NA,"Succeeding"
"Rural.Hadza","25-34",14,"4","1_Very Close to Most","a few times a month",5,"Yes","rarely/never",193.9,"Above 25","Succeeding"
"Rural.Hadza","21-24",12,"4","1_Very Close to Most","several times a day",45,"Yes","rarely/never",132.1,"17","Succeeding"
"Rural.Hadza","65+",0,"4","1_Very Close to Most","rarely/never",1,"No","once a day",153.6,"Above 25","Succeeding"
"Rural.Hadza","16-20",12,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",-49.5,"18","Struggling"
"Rural.Hadza","25-34",0,"4","1_Very Close to Most","rarely/never",1,"No","rarely/never",121.7,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"1","6_Prefer Not to Say","several times a day",45,"No","once a day",-13.9,"Above 25","Struggling"
"Rural.Hadza","16-20",12,"3","2_Very Close to Some","several days a week",15,"No","once a day",136.1,NA,"Succeeding"
"Rural.Hadza","65+",8,"2","6_Prefer Not to Say","several times a day",45,"No","rarely/never",-10.8,"Above 25","Struggling"
"Rural.Hadza","65+",0,"0","4_Dont Get Along","several times a day",45,"No","once a day",-4.8,"Above 25","Struggling"
"Rural.Hadza","25-34",4,"4","1_Very Close to Most","several times a day",45,"Yes","once a day",114.4,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"5","2_Very Close to Some","several days a week",15,"Yes","once a day",136.1,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"3","1_Very Close to Most","rarely/never",1,"No","rarely/never",-11.4,"Above 25","Struggling"
"Rural.Hadza","55-64",12,"3","5_Dont Have Family","rarely/never",1,"No","rarely/never",131.6,"Above 25","Succeeding"
"Rural.Hadza","55-64",0,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",117.9,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","1_Very Close to Most","rarely/never",1,"No","once a day",140.7,"Above 25","Succeeding"
"Rural.Hadza","55-64",0,"2","1_Very Close to Most","rarely/never",1,"No","once a day",134.6,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"2","1_Very Close to Most","rarely/never",1,"No","once a day",100.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",0,"2","1_Very Close to Most","rarely/never",1,"No","once a day",100.4,"Above 25","Succeeding"
"Rural.Hadza","55-64",6,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",130.8,"Above 25","Succeeding"
"Rural.Hadza","16-20",0,"4","2_Very Close to Some","rarely/never",1,"No","once a day",144.5,NA,"Succeeding"
"Rural.Hadza","45-54",0,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",100.4,"Above 25","Succeeding"
"Rural.Hadza","45-54",0,"6+","1_Very Close to Most","rarely/never",1,"No","rarely/never",138.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"1","1_Very Close to Most","several days a week",15,"No","once a day",123.2,"Above 25","Succeeding"
"Rural.Hadza","21-24",0,"3","1_Very Close to Most","rarely/never",1,"No","once a day",143.7,NA,"Succeeding"
"Rural.Hadza","55-64",0,"2","1_Very Close to Most","several days a week",15,"No","once a day",139.9,"Above 25","Succeeding"
"Rural.Hadza","65+",0,"5","2_Very Close to Some","once a day",30,"No","rarely/never",109.5,"Above 25","Succeeding"
"Rural.Hadza","35-44",0,"6+","1_Very Close to Most","a few times a month",5,"No","once a day",137.6,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"3","2_Very Close to Some","a few times a month",5,"No","once a day",138.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"4","1_Very Close to Most","rarely/never",1,"Yes","several days a week",139.2,"Above 25","Succeeding"
"Rural.Hadza","21-24",14,"5","1_Very Close to Most","several times a day",45,"Yes","once a day",165.8,"≤10","Succeeding"
"Rural.Hadza","21-24",14,"6+","1_Very Close to Most","several times a day",45,"Yes","rarely/never",143,"19","Succeeding"
"Rural.Hadza","21-24",8,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",127.9,"21-25","Succeeding"
"Rural.Hadza","25-34",14,"6+","1_Very Close to Most","several times a day",45,"Yes","once a day",112.5,"Above 25","Succeeding"
"Rural.Hadza","16-20",14,"3","1_Very Close to Most","several times a day",45,"Yes","rarely/never",-59.2,"18","Struggling"
"Rural.Hadza","16-20",14,"5","2_Very Close to Some","rarely/never",1,"Yes","once a day",-12.1,"18","Struggling"
"Rural.Hadza","35-44",16,"0","4_Dont Get Along","rarely/never",1,"Yes","a few times a month",-100,"Above 25","Struggling"
"Rural.Hadza","35-44",18,"6+","1_Very Close to Most","once a day",30,"Yes","once a day",147.5,"Above 25","Succeeding"
"Rural.Hadza","25-34",12,"3","1_Very Close to Most","a few times a month",5,"No","once a day",-11.6,"Above 25","Struggling"
"Rural.Hadza","16-20",14,"6+","2_Very Close to Some","several days a week",15,"Yes","once a day",148.7,"21-25","Succeeding"
"Rural.Hadza","35-44",10,"3","2_Very Close to Some","rarely/never",1,"Yes","once a day",141.4,"Above 25","Succeeding"
"Rural.Hadza","16-20",12,"3","1_Very Close to Most","several times a day",45,"Yes","rarely/never",125.5,"18","Succeeding"
"Rural.Hadza","65+",0,"4","1_Very Close to Most","rarely/never",1,"No","once a day",162.7,"Above 25","Succeeding"
"Rural.Hadza","45-54",0,"6+","2_Very Close to Some","several days a week",15,"No","once a day",149,"Above 25","Succeeding"
"Rural.Hadza","45-54",0,"6+","2_Very Close to Some","several days a week",15,"No","once a day",149,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",124,"Above 25","Succeeding"
"Rural.Hadza","25-34",16,"2","2_Very Close to Some","rarely/never",1,"Yes","once a day",-34.7,"Above 25","Struggling"
"Rural.Hadza","35-44",NA,"4","1_Very Close to Most","rarely/never",1,"Yes","once a day",161.2,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"4","1_Very Close to Most","several days a week",15,"Yes","once a day",139.9,"Above 25","Succeeding"
"Rural.Hadza","21-24",14,"1","2_Very Close to Some","several times a day",45,"Yes","once a day",128.5,NA,"Succeeding"
"Rural.Hadza","35-44",14,"6+","4_Dont Get Along","rarely/never",1,"Yes","a few times a month",-12.6,"Above 25","Struggling"
"Rural.Hadza","25-34",20,"0","2_Very Close to Some","several times a day",45,"Yes","once a day",120.2,"Above 25","Succeeding"
"Rural.Hadza","21-24",12,"2","2_Very Close to Some","a few times a month",5,"No","rarely/never",125.5,NA,"Succeeding"
"Rural.Hadza","25-34",16,"1","5_Dont Have Family","several times a day",45,"Yes","once a day",178.7,"Above 25","Succeeding"
"Rural.Hadza","25-34",4,"3","1_Very Close to Most","rarely/never",1,"Yes","several days a week",172.6,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"0","4_Dont Get Along","a few times a month",5,"No","once a day",-33.3,"Above 25","Struggling"
"Rural.Hadza","16-20",8,"5","1_Very Close to Most","a few times a month",5,"No","a few times a month",140.7,NA,"Succeeding"
"Rural.Hadza","55-64",8,"4","1_Very Close to Most","several days a week",15,"No","once a day",103.8,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"1","6_Prefer Not to Say","several times a day",45,"Yes","rarely/never",133.5,"18","Succeeding"
"Rural.Hadza","55-64",8,"6+","1_Very Close to Most","several days a week",15,"No","once a day",116.3,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"3","1_Very Close to Most","several days a week",15,"No","once a day",121.3,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"3","1_Very Close to Most","several times a day",45,"No","once a day",119.4,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"0","1_Very Close to Most","rarely/never",1,"No","once a day",140.9,"Above 25","Succeeding"
"Rural.Hadza","65+",8,"5","5_Dont Have Family","rarely/never",1,"No","once a day",142.2,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","1_Very Close to Most","a few times a month",5,"No","once a day",121.1,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"2","1_Very Close to Most","several days a week",15,"Yes","once a day",104,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"3","1_Very Close to Most","once a day",30,"No","once a day",-71.3,"Above 25","Struggling"
"Rural.Hadza","25-34",8,"5","2_Very Close to Some","a few times a month",5,"No","once a day",-9,"Above 25","Struggling"
"Rural.Hadza","45-54",8,"5","1_Very Close to Most","a few times a month",5,"No","once a day",158.2,"Above 25","Succeeding"
"Rural.Hadza","21-24",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",142.2,NA,"Succeeding"
"Rural.Hadza","35-44",8,"4","4_Dont Get Along","rarely/never",1,"No","once a day",-4.1,"Above 25","Struggling"
"Rural.Hadza","25-34",8,"3","2_Very Close to Some","rarely/never",1,"Yes","once a day",160.1,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"0","1_Very Close to Most","a few times a month",5,"No","once a day",-34.3,"Above 25","Struggling"
"Rural.Hadza","25-34",8,"4","1_Very Close to Most","rarely/never",1,"No","once a day",-6.8,"Above 25","Struggling"
"Rural.Hadza","55-64",8,"6+","1_Very Close to Most","a few times a month",5,"No","once a day",160.5,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"3","1_Very Close to Most","once a day",30,"No","once a day",168.1,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"4","2_Very Close to Some","rarely/never",1,"Yes","once a day",153.6,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"4","1_Very Close to Most","rarely/never",1,"No","once a day",109.1,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"3","1_Very Close to Most","a few times a month",5,"No","once a day",-20.6,"Above 25","Struggling"
"Rural.Hadza","25-34",8,"3","1_Very Close to Most","rarely/never",1,"Yes","once a day",140.7,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"3","2_Very Close to Some","several days a week",15,"No","once a day",-5.3,"Above 25","Struggling"
"Rural.Hadza","55-64",8,"1","1_Very Close to Most","rarely/never",1,"No","a few times a month",113.3,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"6+","2_Very Close to Some","several days a week",15,"No","once a day",-9.6,NA,"Struggling"
"Rural.Hadza","45-54",8,"3","1_Very Close to Most","several times a day",45,"No","once a day",-10.1,"Above 25","Struggling"
"Rural.Hadza","45-54",8,"1","1_Very Close to Most","a few times a month",5,"No","once a day",152.9,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"1","1_Very Close to Most","rarely/never",1,"No","once a day",152.9,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"5","2_Very Close to Some","rarely/never",1,"No","once a day",-86.8,"Above 25","Struggling"
"Rural.Hadza","45-54",8,"5","2_Very Close to Some","rarely/never",1,"No","once a day",-86.8,"Above 25","Struggling"
"Rural.Hadza","35-44",8,"3","1_Very Close to Most","rarely/never",1,"No","several days a week",108.7,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","1_Very Close to Most","rarely/never",1,"Yes","once a day",107.2,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"3","5_Dont Have Family","once a day",30,"No","once a day",127,NA,"Succeeding"
"Rural.Hadza","35-44",8,"6+","2_Very Close to Some","several days a week",15,"Yes","once a day",136.1,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"3","1_Very Close to Most","several times a day",45,"No","once a day",141.4,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",109.5,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"4","3_Not Close","a few times a month",5,"No","once a day",133.8,"Above 25","Succeeding"
"Rural.Hadza","65+",8,"2","1_Very Close to Most","a few times a month",5,"No","rarely/never",103.4,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"2","1_Very Close to Most","rarely/never",1,"No","once a day",124,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"2","1_Very Close to Most","rarely/never",1,"No","once a day",124,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"5","1_Very Close to Most","several days a week",15,"Yes","once a day",156.7,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"3","2_Very Close to Some","rarely/never",1,"No","once a day",119.4,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"3","3_Not Close","rarely/never",1,"No","once a day",111.8,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"6+","1_Very Close to Most","several times a day",45,"No","once a day",-8.8,"Above 25","Struggling"
"Rural.Hadza","35-44",8,"4","4_Dont Get Along","rarely/never",1,"Yes","once a day",148.3,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"3","1_Very Close to Most","rarely/never",1,"Yes","rarely/never",120.9,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"6+","1_Very Close to Most","several days a week",15,"No","once a day",110.3,NA,"Succeeding"
"Rural.Hadza","45-54",8,"5","1_Very Close to Most","rarely/never",1,"No","once a day",144.5,"Above 25","Succeeding"
"Rural.Hadza","45-54",8,"2","1_Very Close to Most","several times a day",45,"No","once a day",101.1,"Above 25","Succeeding"
"Rural.Hadza","65+",8,"4","1_Very Close to Most","rarely/never",1,"No","rarely/never",110.3,"Above 25","Succeeding"
"Rural.Hadza","16-20",8,"2","4_Dont Get Along","once a day",30,"No","once a day",139.9,NA,"Succeeding"
"Rural.Hadza","45-54",8,"4","1_Very Close to Most","once a day",30,"No","once a day",142.2,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"5","2_Very Close to Some","several times a day",45,"Yes","once a day",157.4,"Above 25","Succeeding"
"Rural.Hadza","55-64",8,"6+","1_Very Close to Most","rarely/never",1,"No","once a day",109.9,"Above 25","Succeeding"
"Rural.Hadza","25-34",8,"6+","1_Very Close to Most","rarely/never",1,"Yes","once a day",101.1,"Above 25","Succeeding"
"Rural.Hadza","35-44",8,"4","1_Very Close to Most","rarely/never",1,"No","rarely/never",-9.5,"Above 25","Struggling"
"Rural.Hadza","55-64",8,"3","1_Very Close to Most","several days a week",15,"Yes","once a day",136.9,"Above 25","Succeeding"
