Feature,Importance
RelationWithAdultFamily_1_Very Close to Most,0.05791534588849525
Education_Years,0.048089533221455684
UPF.Freq_several times a day,0.03167847597737587
Exercise.Freq_rarely/never,0.023284542233824347
UPF.Freq_rarely/never,0.010719280253589435
Exercise.Freq_once a week,0.008079277767418713
Exercise.Freq_several days a week,0.004209397725153841
ShareHomeWith_6+,0.00382481819876932
RelationWithAdultFamily_6_Prefer Not to Say,0.0036150475480141607
Exercise.Freq_once a day,0.00267651811796884
RelationWithAdultFamily_4_Dont Get Along,0.002368854496861206
UPF.Freq_once a day,0.002229784324693862
ShareHomeWith_0,0.002002144322207722
UPF.Freq_a few times a month,0.0009882528435577465
Exercise.Freq_a few times a month,0.0008390826030207132
ShareHomeWith_5,0.00024007085586424948
ShareHomeWith_2,0.0002074398657467724
ShareHomeWith_1,-0.00044284915159423786
RelationWithAdultFamily_5_Dont Have Family,-0.0009175523649698203
ShareHomeWith_3,-0.0009284293616756756
ShareHomeWith_4,-0.0009455217850705466
UPF.Freq_several days a week,-0.0011863695692709286
RelationWithAdultFamily_3_Not Close,-0.0027340108148424026
RelationWithAdultFamily_2_Very Close to Some,-0.006412766486419341
