Feature,Importance
RelationWithAdultFamily_1_Very Close to Most,0.09594209317131233
Education_Years,0.042739502311290756
UPF.Freq_several days a week,0.01675062972292194
ShareHomeWith_6+,0.01107481938716196
ShareHomeWith_2,0.007995405098679664
Exercise.Freq_several days a week,0.0075871232042516775
RelationWithAdultFamily_4_Dont Get Along,0.007225897528164582
Exercise.Freq_rarely/never,0.007115177014421392
UPF.Freq_several times a day,0.006513134220942818
RelationWithAdultFamily_5_Dont Have Family,0.005797602900877508
ShareHomeWith_5,0.005689650399977886
ShareHomeWith_1,0.0027860049270628682
ShareHomeWith_4,0.0016151354942286922
Exercise.Freq_once a day,0.0008816120906800951
ShareHomeWith_Missing,0.0008220998145431647
Exercise.Freq_Missing,0.0005549865751377614
UPF.Freq_a few times a month,0.00037091372103965626
RelationWithAdultFamily_Missing,0.00017438480914554465
UPF.Freq_once a day,0.0001217925651175511
UPF.Freq_Missing,-0.0006518670246629555
RelationWithAdultFamily_2_Very Close to Some,-0.0008207158081213084
RelationWithAdultFamily_6_Prefer Not to Say,-0.0013314141777617916
ShareHomeWith_0,-0.0016040634428543532
RelationWithAdultFamily_3_Not Close,-0.005891715337559156
ShareHomeWith_3,-0.006143604506324863
Exercise.Freq_a few times a month,-0.010774489993633573
UPF.Freq_rarely/never,-0.01627314750740443
