Variant,Group,Rank,Feature,Mean_SHAP,Share
with_SP,rural_hadza,1,RelationWithAdultFamily_1_Very Close to Most,0.5047198534011841,0.2451919369131494
with_SP,rural_hadza,2,Education_Years,0.18434520065784454,0.08955454497252009
with_SP,rural_hadza,3,ShareHomeWith_6+,0.1354130655527115,0.06578340757248823
with_SP,rural_hadza,4,UPF.Freq_several days a week,0.1326236128807068,0.06442829681358422
with_SP,rural_hadza,5,UPF.Freq_several times a day,0.09149691462516785,0.044449025667095625
with_SP,rural_hadza,6,ShareHomeWith_2,0.08877365291118622,0.04312607034866905
with_SP,rural_hadza,7,Smartphone.ownership_No,0.07832659780979156,0.03805091101406431
with_SP,rural_hadza,8,AgeOfFirstSP_Above 25,0.06901028007268906,0.033525061722689604
with_SP,rural_hadza,9,Smartphone.ownership_Yes,0.068573959171772,0.03331309786572893
with_SP,rural_hadza,10,UPF.Freq_a few times a month,0.06498096138238907,0.03156762642970993
with_SP,rural_hadza,11,UPF.Freq_rarely/never,0.05963977053761482,0.0289728861597804
with_SP,rural_hadza,12,Exercise.Freq_once a day,0.05634864792227745,0.027374065104425922
with_SP,rural_hadza,13,Exercise.Freq_rarely/never,0.054050151258707047,0.02625745983294421
with_SP,rural_hadza,14,ShareHomeWith_4,0.046304889023303986,0.022494826291581935
with_SP,rural_hadza,15,RelationWithAdultFamily_2_Very Close to Some,0.044224005192518234,0.021483936916964725
with_SP,rural_hadza,16,AgeOfFirstSP_Missing,0.039168935269117355,0.0190281936419625
with_SP,rural_hadza,17,ShareHomeWith_3,0.035312484949827194,0.017154737472120717
with_SP,rural_hadza,18,Exercise.Freq_several days a week,0.03391795977950096,0.016477279818568412
with_SP,rural_hadza,19,ShareHomeWith_5,0.03348276764154434,0.01626586431248936
with_SP,rural_hadza,20,Exercise.Freq_a few times a month,0.03338077664375305,0.016216317281343994
with_SP,rural_hadza,21,RelationWithAdultFamily_4_Dont Get Along,0.03304901719093323,0.016055149175358115
with_SP,rural_hadza,22,ShareHomeWith_1,0.02950092777609825,0.014331494141576579
with_SP,rural_hadza,23,RelationWithAdultFamily_6_Prefer Not to Say,0.028799284249544144,0.013990637061873736
with_SP,rural_hadza,24,ShareHomeWith_0,0.022580772638320923,0.010969696045985506
with_SP,rural_hadza,25,UPF.Freq_once a day,0.019296113401651382,0.009374014887593448
with_SP,rural_hadza,26,RelationWithAdultFamily_3_Not Close,0.016794638708233833,0.008158803278450045
with_SP,rural_hadza,27,RelationWithAdultFamily_5_Dont Have Family,0.015525891445577145,0.007542448291247317
with_SP,rural_hadza,28,AgeOfFirstSP_Do not Own,0.008948764763772488,0.004347292761763927
with_SP,rural_hadza,29,AgeOfFirstSP_18,0.007973423227667809,0.003873473713874674
with_SP,rural_hadza,30,Exercise.Freq_Missing,0.007053306791931391,0.0034264829138426606
with_SP,rural_hadza,31,UPF.Freq_Missing,0.006656191311776638,0.0032335649751065684
with_SP,rural_hadza,32,AgeOfFirstSP_17,0.004556332714855671,0.0022134576954875728
with_SP,rural_hadza,33,ShareHomeWith_Missing,0.002822015667334199,0.0013709297995910831
with_SP,rural_hadza,34,AgeOfFirstSP_19,0.00044622315908782184,0.00021677435499110637
with_SP,rural_hadza,35,RelationWithAdultFamily_Missing,0.0003710075397975743,0.000180234751376111
with_SP,rural_hadza,36,Smartphone.ownership_Missing,0.0,0.0
with_SP,rural_hadza,37,AgeOfFirstSP_20,0.0,0.0
with_SP,rural_hadza,38,AgeOfFirstSP_≤10,0.0,0.0
with_SP,rural_hadza,39,AgeOfFirstSP_21-25,0.0,0.0
with_SP,rural_hadza,40,AgeOfFirstSP_16,0.0,0.0
with_SP,rural_hadza,41,AgeOfFirstSP_15,0.0,0.0
with_SP,rural_hadza,42,AgeOfFirstSP_14,0.0,0.0
with_SP,rural_hadza,43,AgeOfFirstSP_13,0.0,0.0
with_SP,rural_hadza,44,AgeOfFirstSP_12,0.0,0.0
with_SP,rural_hadza,45,AgeOfFirstSP_11,0.0,0.0
with_SP,gm,1,RelationWithAdultFamily_1_Very Close to Most,0.31425103545188904,0.1300536357442389
with_SP,gm,2,Education_Years,0.2924625873565674,0.12103642793155359
